,level_0,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y,Win_Count_x,Win_Count_y
0,CHA,51,49,50,44,52,53,47,48,45,54
1,HOU,48,50,44,48,49,52,52,44,47,50
2,OKC,52,53,57,66,52,52,58,56,50,59
3,CLE,13,20,12,23,12,11,16,13,17,15
4,WAS,37,34,31,30,38,41,35,31,29,32
5,TOR,49,49,54,49,58,55,47,47,54,53
6,MIL,69,63,69,59,58,62,62,67,64,60
7,LAC,40,44,37,39,40,35,37,37,38,39
8,PHI,52,57,54,68,58,62,55,55,58,56
9,DET,32,34,30,31,37,39,33,43,34,30
10,NOP,50,47,48,49,49,43,54,53,47,52
11,NYK,32,24,29,34,27,32,35,32,30,33
12,MIN,43,41,37,41,50,42,39,48,36,39
13,MEM,23,26,26,22,20,24,27,22,29,27
14,BKN,37,32,42,34,30,31,37,40,35,39
15,PHX,33,36,35,36,35,33,37,33,34,37
16,MIA,40,32,36,40,33,32,34,34,35,32
17,SAC,48,52,57,50,49,50,47,49,51,57
18,CHI,17,22,23,21,21,27,21,20,12,19
19,IND,44,45,48,45,42,44,50,49,53,35
20,DEN,49,47,47,46,49,48,48,51,36,40
21,ORL,34,33,36,41,37,41,30,34,38,40
22,GSW,44,53,50,52,59,50,53,51,54,54
23,BOS,53,55,52,53,47,56,54,54,61,53
24,UTA,49,53,42,44,48,42,55,50,53,51
25,DAL,18,18,27,16,21,18,19,14,18,14
26,POR,60,59,50,53,53,47,50,53,58,52
27,LAL,26,29,21,18,24,26,21,23,30,23
28,SAS,46,35,44,40,43,39,37,41,41,49
29,ATL,41,38,42,38,39,43,40,38,43,36
